"age","job","marital","education","default","balance","housing","loan","contact","day","month","duration","campaign","pdays","previous","poutcome","y"
33.0,"unknown","single","unknown","no",1.0,"no","no","unknown",5.0,"may",198.0,1.0,-1.0,0.0,"unknown","no"
32.0,"blue-collar","single","primary","no",23.0,"yes","yes","unknown",5.0,"may",160.0,1.0,-1.0,0.0,"unknown","no"
25.0,"services","married","secondary","no",50.0,"yes","no","unknown",5.0,"may",342.0,1.0,-1.0,0.0,"unknown","no"
57.0,"technician","married","secondary","no",839.0,"no","yes","unknown",5.0,"may",225.0,1.0,-1.0,0.0,"unknown","no"
51.0,"management","married","tertiary","no",10635.0,"yes","no","unknown",5.0,"may",336.0,1.0,-1.0,0.0,"unknown","no"
57.0,"technician","divorced","secondary","no",63.0,"yes","no","unknown",5.0,"may",242.0,1.0,-1.0,0.0,"unknown","no"
36.0,"admin.","divorced","secondary","no",506.0,"yes","no","unknown",5.0,"may",577.0,1.0,-1.0,0.0,"unknown","no"
36.0,"admin.","single","primary","no",-171.0,"yes","no","unknown",5.0,"may",242.0,1.0,-1.0,0.0,"unknown","no"
59.0,"management","divorced","tertiary","no",59.0,"yes","no","unknown",5.0,"may",273.0,1.0,-1.0,0.0,"unknown","no"
31.0,"services","married","secondary","no",25.0,"yes","yes","unknown",5.0,"may",172.0,1.0,-1.0,0.0,"unknown","no"
55.0,"services","divorced","secondary","no",91.0,"no","no","unknown",5.0,"may",349.0,1.0,-1.0,0.0,"unknown","no"
30.0,"technician","married","secondary","no",152.0,"yes","yes","unknown",5.0,"may",213.0,2.0,-1.0,0.0,"unknown","no"
60.0,"admin.","married","secondary","no",290.0,"yes","no","unknown",5.0,"may",583.0,1.0,-1.0,0.0,"unknown","no"
57.0,"entrepreneur","divorced","secondary","no",-37.0,"no","no","unknown",5.0,"may",173.0,1.0,-1.0,0.0,"unknown","no"
55.0,"blue-collar","married","secondary","no",383.0,"no","no","unknown",5.0,"may",287.0,1.0,-1.0,0.0,"unknown","no"
36.0,"blue-collar","married","primary","no",448.0,"yes","no","unknown",5.0,"may",286.0,1.0,-1.0,0.0,"unknown","no"
59.0,"retired","divorced","primary","no",81.0,"yes","no","unknown",5.0,"may",107.0,1.0,-1.0,0.0,"unknown","no"
